English,Ukrainian
The Mitten ,Рукавичка
"An old man was walking through the forest, with his dog running behind him, and lost his mitten.","Ішов дід лісом, а за ним бігла собачка, та й загубив дід рукавичку."
"There ran a mouse, climbed into the mitten and said: ""I will live here"".","От біжить мишка, улізла в ту рукавичку та й каже: — Тут я буду жити!"
"Then there hopped up a frog and asked: ""And who-who is in this mitten?""",Коли це жабка плигає та й питає: — А хто-хто в цій рукавичці?
"""Scratchy-Mouse.""",Мишка-шкряботушка.
"And who are you?""",А ти хто?
"""Croaky-Frog.""",Жабка-скрекотушка. 
Let me in too!,Пусти й мене!
So there are two of them now.,От уже їх двоє. 
Then there comes a hare.,Коли біжить зайчик. 
"It ran up to the mitten and asked: ""And who-who is in this mitten?""",Прибіг до рукавички та й питає: — А хто-хто в цій рукавичці?
"""Scratchy-Mouse, Croaky-Frog.""","Мишка-шкряботушка, жабка-скрекотушка."
"And who are you?""",А ти хто?
I am Speedy-Hare.,А я зайчик-побігайчик. Пустіть і мене!
Let me in too!,Пустіть і мене!
Come on in!,Іди!
So there are three of them now.,От уже їх троє.
"Then there runs a fox, comes up to the mitten and asks: ""And who-who lives in this mitten?""",Коли це біжить лисичка — та до рукавички: — А хто-хто в цій рукавичці живе?
"""Scratchy-Mouse, Croaky-Frog, and Speedy-Hare.""","Мишка-шкряботушка, жабка-скрекотушка та зайчик-побігайчик."
And who are you?,А ти хто?
I am Sister-Fox.,Та я лисичка-сестричка.
Let me in too!,Пустіть і мене!
Come on in!,Та йди!
Now there are four of them sitting in the mitten.,Ото вже їх четверо сидить.
"There slowly creeps up a wolf on the mitten, amd asks: ""And who-who lives in this mitten?""","Аж суне вовчик — та й собі до рукавички, питається: — А хто-хто в цій рукавичці живе?"
"""Scratchy-Mouse, Croaky-Frog, Speedy-Hare, and Sister-Fox.""","Мишка-шкряботушка, жабка-скрекотушка, зайчик-побігайчик та лисичка-сестричка."
And who are you?,А ти хто?
"""I am Brother-Wolf.""",Та я вовчик-братик.
Let me in too!,Пустіть і мене!
"Ok, come on in!",Та вже йди!
He aslo climbed in.,Уліз і той.
Now there are five of them there.,Уже їх п'ятеро.
Out of nowhere appeared running a wild boar.,Де не взявся — біжить кабан.
Oink-oink-oink!,Хро-хро-хро!
"And who-who lives in this mitten?""",А хто-хто в цій рукавичці живе?
"""Scratchy-Mouse, Croaky-Frog, Speedy-Hare, Sister-Fox, and Brother-Wolf.""","Мишка-шкряботушка, жабка-скрекотушка, зайчик-побігайчик, лисичка-сестричка та вовчик-братик."
And who are you?,А ти хто?
Oink-oink-oink!,Хро-хро-хро!
And I am Boar-With-Tusks.,А я кабан-іклан. 
Let me in too!,Пустіть і мене!
What a trouble!,Оце лихо! 
"Who ever comes by, wants to climb into the mitten!", Хто не набреде — та все в рукавичку! 
Where will you fit in here?,Куди ж ти тут улізеш?
"I will fit, just let me in!","Та вже влізу,— пустіть!"
"Well, what can we do with you, just come on in!","Та що вже з тобою робити,— йди!"
So the boar also climed in.,Уліз і той.
Now there are six of them and it is getting impossibly tight.,"Уже їх шестеро, уже так їм тісно, що й нікуди."
"Suddenly there comes a bear, crashing through the bushes, and roars into the mitten: ""And who-who lives in this mitten?""","Коли це тріщать кущі, вилазить ведмідь — та й собі до рукавички, реве й питається: — А хто-хто в цій рукавичці живе?"
"""Scratchy-Mouse, Croaky-Frog, Speedy-Hare, Sister-Fox, Brother-Wolf, and Boar-With-Tusks.""","Мишка-шкряботушка, жабка-скрекотушка, зайчик-побігайчик, лисичка-сестричка, вовчик-братик та кабан-іклан."
And who are you?,А ти хто?
Roar-roar-roar!,Гу-гу-гу!
There are so many of you!,Як вас багато! 
"And I am Bear, the Wanderer!",А я ведмідь-набрідь. 
Let me in too!,Пустіть і мене!
"Where will we let you get in, if it is so tight already?","Куди ми тебе пустимо, коли й так тісно?"
"No worries, we will be fine.",Та якось будемо.
"Well, alright, climb in, but stay on the side!","Та вже йди, тільки скраєчку!"
"The bear climbed into the mitten, and so there were seven of them now.","Уліз і ведмідь, — семеро стало."
And it is so tight that the mitten is about to burst!,"Та так вже тісно, що рукавичка ось-ось розірветься."
"Right at that time, old man looked around and noticed that his mitten was missing. ","Коли це дід оглядівся,— нема рукавички."
"He went back, and started looking for it, with his dog running in front of him.","Він тоді назад — шукати її, а собачка попереду побігла."
"His dog ran and ran, until it saw the mitten laying on the ground and moving.","Бігла-бігла, бачить — лежить рукавичка і ворушиться."
"The puppy said ""Woof-woof-woof!""",Собачка тоді: «Гав-гав-гав!»
All animals got so scared by that and stormed out of the mitten into the forest.,"Вони як злякаються, як вирвуться з рукавички,— так усі й порозбігалися лісом."
The old man walked up and picked up his mitten.,Прийшов дід та й забрав рукавичку.
Солом'яний бичок,The Straw Ox
There was once upon a time an old man and an old woman.,Жив собі дід та баба. 
"The old man worked in the fields as a pitch-burner, while the old woman sat at home and spun flax.","Дід служив на майдані майданником, а баба сиділа дома, мички пряла."
"They were so poor that they could save nothing at all; all their earnings went in bare food, and when that was gone there was nothing left.","І такі вони бідні – нічого не мають: що зароблять, то проїдять, та й нема."
"At last the old woman had a good idea. “Look now, husband,” cried she, “make me a straw ox, and smear it all over with tar.”",От баба й напалась на діда: зроби та й зроби їй солом’яного бичка і осмоли його смолою.
"“Why, you foolish woman!” said he, “what’s the good of an ox of that sort?”",Що ти говориш? Навіщо тобі той бичок здався?
"“Never mind,” said she, “you just make it. I know what I am about.”","Зроби, я вже знаю навіщо."
"What was the poor man to do? He set to work and made the ox of straw, and smeared it all over with tar.",Дід – нічого робити – взяв зробив солом’яного бичка й осмолив його смолою.
"The night passed away, and at early dawn the old woman took her distaff, and drove the straw ox out into the steppe to graze, and she herself sat down behind a hillock, and began spinning her flax, and cried, “Graze away, little ox, while I spin my flax! Graze away, little ox, while I spin my flax!”","Переночували. От на ранок баба набрала мичок і погнала солом’яного бичка пасти. Сама сіла, пряде кужіль і приказує: – Пасись, пасись, бичку, на травиці, поки я мички попряду! Пасись, пасись, бичку, на травиці, поки я мички попряду!"
"And while she spun, her head drooped down and she began to doze, and while she was dozing, from behind the dark wood and from the back of the huge pines a bear came rushing out upon the ox and said, “Who are you? Speak and tell me!”","Доти пряла, поки й задрімала. Коли це з темного лісу, з великого бору біжить ведмідь з обдертим боком. Наскочив на бичка: – Хто ти такий? – питає. – Скажи мені!

"
"And the ox said, “A three-year-old heifer am I, made of straw and smeared with tar.”","А бичок йому: – Я бичок-третячок, з соломи зроблений, смолою засмолений.

"
"“Oh!” said the bear, “stuffed with straw and trimmed with tar, are you? Then give me of your straw and tar, that I may patch up my ragged fur again!”","Ведмідь каже: – Коли ти солом’яний, смолою засмолений, то дай мені смоли обідраний бік залатати!

"
"“Take some,” said the ox, and the bear fell upon him and began to tear away at the tar.","Бичок нічого, мовчить; ведмідь тоді його хап за бік, давай смолу віддирати. "
"He tore and tore, and buried his teeth in it till he found he couldn’t let go again.","Віддирав, віддирав та й зав’яз зубами, ніяк і не вирве. "
"He tugged and he tugged, but it was no good, and the ox dragged him gradually off goodness knows where.","Сіпав, сіпав – затяг того бичка хто знає куди!"
"Then the old woman awoke, and there was no ox to be seen.",От баба прокидається – аж бичка нема.
"“Alas! old fool that I am!” cried she, “perchance it has gone home.”","Ох, мені лихо велике! Де це мій бичок дівся? Мабуть, він уже додому пішов."
"Then she quickly caught up her distaff and spinning-board, threw them over her shoulders, and hastened off home, and she saw that the ox had dragged the bear up to the fence, and in she went to the old man.",Та мерщій днище та гребінь на плечі та додому. Коли дивиться – ведмідь у бору бичка тягає. Вона до діда.
"“Dad, dad!” she cried, “look, look! the ox has brought us a bear. Come out and kill it!”","Діду, діду! Бичок наш ведмедя піймав, іди його забери!"
"Then the old man jumped up, tore off the bear, tied him up, and threw him in the cellar.","Дід вискочив, віддер ведмедя, взяв і кинув його в погріб."
"Next morning, between dark and dawn, the old woman took her distaff and drove the ox into the steppe to graze.","От на другий день, ще ні світ ні зоря, баба вже взяла кужіль і погнала на толоку бичка пасти."
"She herself sat down by a mound, began spinning, and said, “Graze, graze away, little ox, while I spin my flax! Graze, graze away, little ox, while I spin my flax!”","Сама сіла, пряде кужіль і приказує: – Пасись, пасись, бичку, на травиці, поки я мички попряду!"
"And while she spun, her head drooped down and she dozed.","Доти пряла, поки й задрімала."
"And, lo! from behind the dark wood, from the back of the huge pines, a grey wolf came rushing out upon the ox and said, “Who are you? Come, tell me!”","Коли це з темного лісу, з великого бору вибігає сірий вовк та до бичка: – Хто ти такий?"
"“I am a three-year-old heifer, stuffed with straw and trimmed with tar,” said the ox.","Я бичок-третячок, з соломи зроблений, смолою засмолений!"
"“Oh! trimmed with tar, are you? Then give me of your tar to tar my sides, that the dogs and the sons of dogs tear me not!”","Коли ти смолою засмолений,– каже вовк,– то дай і мені смоли засмолити бік, а то собаки обідрали!"
"“Take some,” said the ox.",Бери!
And with that the wolf fell upon him and tried to tear the tar off.,"Вовк зараз до боку, хотів смоли віддерти."
"He tugged and tugged, and tore with his teeth, but could get none off. Then he tried to let go, and couldn’t; tug and worry as he might, it was no good. ","Дер, дер та зубами й зав’яз, що ніяк уже й не віддере: що хоче назад, то ніяк. Вовтузиться з тим бичком!"
"When the old woman woke, there was no heifer in sight.",Прокидається баба – аж бичка й не видно.
“Maybe my heifer has gone home!” she cried; “I’ll go home and see.”,"Вона й подумала: «Мабуть, мій бичок додому побрів», – та й пішла."
"When she got there she was astonished, for by the palings stood the ox with the wolf still tugging at it.",Коли дивиться – у лісі вовк бичка тягає.
"She ran and told her old man, and her old man came and threw the wolf into the cellar also.","она побігла, дідові сказала. Дід і вовчика у погріб вкинув."
"On the third day the old woman again drove her ox into the pastures to graze, and sat down by a mound and dozed off.",Погнала баба і на третій день бичка пасти: сіла та й заснула.
Then a fox came running up.,Аж біжить лисичка.
“Who are you?” it asked the ox.,Хто ти такий? – питає бичка.
"“I’m a three-year-old heifer, stuffed with straw and daubed with tar.”","Я бичок-третячок, з соломи зроблений, смолою засмолений."
"“Then give me some of your tar to smear my sides with, when those dogs and sons of dogs tear my hide!”","Дай мені смоли, голубчику, прикласти до боку: капосні хорти трохи шкури не зняли!"
"“Take some,” said the ox.",Бери!
Then the fox fastened her teeth in him and couldn’t draw them out again.,"Зав’язла й лисиця зубами в смолі, ніяк не вирветься."
"The old woman told her old man, and he took and cast the fox into the cellar in the same way.","Баба й цього разу дідові сказала, дід вкинув у погріб і лисичку."
And after that they caught Pussy Swift-foot (the hare) likewise.,А далі й зайчика-побігайчика отак упіймали.
"So when he had got them all safely, the old man sat down on a bench before the cellar and began sharpening a knife.","От як назбиралось їх четверо, дід сів над лядою в льох та й давай гострити ножа."
"And the bear said to him, “Tell me, daddy, what are you sharpening your knife for?”","Ведмідь почув та й питає його: – Діду, навіщо ти ножа гостриш?"
"“To flay your skin off, that I may make a leather jacket for myself and a pelisse for my old wife.”","Щоб з тебе шкуру зняти та пошити з тієї шкури і собі, й бабі кожухи."
"“Oh! don’t flay me, daddy dear! Rather let me go, and I’ll bring you a lot of honey.”"," Ох, не ріж мене, дідусю, пусти краще на волю: я тобі багато меду принесу."
"“Very well, see you do it,” and he unbound and let the bear go.",Ну гляди! Тільки принеси … Взяв та й випустив ведмедика.
Then he sat down on the bench and again began sharpening his knife.,"Далі сів над лядою, знов ножа гострить."
"And the wolf asked him, “Daddy, what are you sharpening your knife for?”",Вовк його й питає: – Діду! Навіщо ти ножа гостриш?
"“To flay off your skin, that I may make me a warm cap against the winter.”",Щоб з тебе шкуру зняти та на зиму теплу шапку пошити.
"“Oh! don’t flay me, daddy dear, and I’ll bring you a whole herd of little sheep.”","Ой, не ріж мене, дідусю, я тобі за те цілу отару овечок прижену."
"“Well, see that you do it,” and he let the wolf go.","Гляди ж, прижени! І вовка дід випустив."
Then he sat down and began sharpening his knife again.,Сидить далі та ще ножа гострить.
"The fox put out her little snout and asked him, “Be so kind, dear daddy, and tell me why you are sharpening your knife!”","Виткнула мордочку лисичка та й питає: – Скажи мені, будь ласкавий, дідусю, навіщо ти ножа гостриш?"
"“Little foxes,” said the old man, “have nice skins that do capitally for collars and trimmings, and I want to skin you!”","У лисички, – каже дід, – гарна шкура на опушку й на комірець, хочу зняти."
"“Oh! don’t take my skin away, daddy dear, and I will bring you hens and geese.”","Ой, не знімай з мене, дідусю, шкури, я тобі й гусей, і курей принесу!"
"“Very well, see that you do it!” and he let the fox go.",Ну гляди! Принеси! І лисичку дід пустив. 
"The hare now alone remained, and the old man began sharpening his knife on the hare’s account.",Зостався один зайчик. Дід і на того ножа гострить.
"“Why do you do that?” asked puss, and he replied, “Little hares have nice little soft warm skins, which will make me gloves and mittens against the winter!”","Зайчик його питає: «Нащо?» А він і каже: – У зайчика шкурка м’якенька, тепленька – будуть мені на зиму рукавички й капелюх.

"
"“Oh! daddy dear! don’t flay me, and I’ll bring you kale and good cauliflower, if only you let me go!”","Ох, не ріж мене, дідусю, я тобі стрічок, сережок, намиста доброго нанесу, тільки пусти на волю!"
Then he let the hare go also.,Пустив дід і його.
"Then they went to bed, but very early in the morning, when it was neither dusk nor dawn, there was a noise in the doorway like “Durrrrrr!”","От переночували ніч, коли на ранок, ще ні світ ні зоря, аж-дер-дер! – щось до діда в двері."
"“Daddy!” cried the old woman, “there’s some one scratching at the door, go and see who it is!”","Баба прокинулась: – Діду, діду! Щось до нас у двері шкряботить, піди подивись!

"
"The old man went out, and there was the bear carrying a whole hive full of honey.","Дід вийшов, коли то ведмідь цілий вулик меду приніс."
"The old man took the honey from the bear, but no sooner did he lie down than again there was another “Durrrrr!” at the door. The old man looked out and saw the wolf driving a whole flock of sheep into the yard.","Дід узяв мед, та тільки ліг, аж у двері знову дер-дер! – повен двір овець вовк понагонив."
"Close on his heels came the fox, driving before him geese and hens and all manner of fowls; and last of all came the hare, bringing cabbage and kale and all manner of good food.","А незабаром лисичка принесла курей, гусей – усякої птиці. Зайчик понаносив стрічок, сережок, намиста доброго…"
"And the old man was glad, and the old woman was glad.","І дід радий, і баба рада."
And the old man sold the sheep and oxen and got so rich that he needed nothing more.,"Взяли вони попродали овечки та накупили волів, та став дід тими волами ходити чумакувати."
"As for the straw-stuffed ox, it stood in the sun till it fell to pieces.","А бичок, як не стало вже треба, доти стояв на сонці, поки й розтанув."
The Bully Goat,Коза-дереза
"Once upon a time, there lived an old man and his wife.",Були собі дід та баба.
"One day, the old man went to market and bought himself a goat.",Поїхав дід у ярмарок та й купив собі козу.
"He brought the goat home and on the following morning sent his oldest son to take her to pasture. The son let the goat graze all day long, and in the evening, he led her home.","Привіз її додому, а рано на другий день посилає дід старшого сина ту козу пасти."
"The son let the goat graze all day long, and in the evening, he led her home.","Пас, пас хлопець її аж до вечора та став гнати додому."
"As they approached the yard, the old man stood at the gate in his big red boots and asked: My goat so gentle, my goat so dear, did you eat, did you drink?","Тільки до воріт став догонити, а дід став на воротях у червоних чоботях та й питається: – Кізонька моя мила, кізонька моя люба! Чи ти пила, чи ти їла?"
"No, grandfather, I did not drink, I did not eat: I nibbled on a maple leaf stalk of wheat, and running past the bubbling brook, a drop of water is all I took. That's all I drank, that's all I ate!","Ні, дідусю, я й не пила, я й не їла: тільки бігла через місточок та вхопила кленовий листочок, тільки бігла через гребельку та вхопила водиці крапельку, - тільки пила, тільки й їла!"
The old man got very angry. He scolded his son for not taking care of the goat and chased him away.,"От дід розсердився на сина, що він погано худоби доглядає, та й прогнав його."
"The next morning, he sent his younger son.",На другий день посилає другого сина – меншого.
"The second son let the goat graze all day long, and in the evening, he led her home.","Пас, пас хлопець козу аж до вечора та й став гонити додому."
"As they approached the yard, the old man stood at the gate in his big red boots and asked:My goat so gentle, my goat so dear, did you eat? Did you drink?","Тільки став до воріт догонити, а дід став на воротях у червоних чоботях та й питається: – Кізонька моя мила, кізонька моя люба! Чи ти пила, чи ти їла?"
"No, grandfather, I did not drink, I did not eat: I nibbled on a maple leaf stalk of wheat, and running past the bubbling brook, a drop of water is all I took. That's all I drank, that's all I ate!","Ні, дідусю, я й не пила, я й не їла: тільки бігла через місточок та вхопила кленовий листочок, тільки бігла через гребельку та вхопила водиці крапельку, - тільки пила, тільки й їла!"
Again the old man got angry and chased his second son away.,От дід і того сина прогнав.
"On the third day, he sent his wife.",На третій день посилає вже жінку.
"The wife let the goat graze all day long, and in the evening, she led the goat home. Again, the old man stood at the gate in his big red boots and asked: The wife let the goat graze all day long, and in the evening, she led the goat home. Again, the old man stood at the gate in his big red boots and asked:
My goat so gentle, my goat so dear, did you eat? Did you drink?
","От вона погнала козу, пасла весь день; ввечері стала догонити до двору, а дід уже стоїть на воротях у червоних чоботях та й питається: – Кізонька моя мила, кізонька моя люба! Чи ти пила, чи ти їла?"
"No, grandfather, I did not drink, I did not eat: I nibbled on a maple leaf stalk of wheat, and running past the bubbling brook, a drop of water is all I took. That's all I drank, that's all I ate!","Ні, дідусю, я й не пила, я й не їла: тільки бігла через місточок та вхопила кленовий листочок, тільки бігла через гребельку та вхопила водиці крапельку, - тільки пила, тільки й їла!"
The old man got so angry that he even chased his wife away!,От дід прогнав і бабу.
"On the fourth day, the old man himself took the goat to pasture. He let her graze all day long. In the evening he led the goat near the yard, then quickly ran around the back of the house to the gate. He stood at the  gate in his big red boots and asked: My goat so gentle, my goat so dear, did you eat? Did you drink?","На четвертий день погнав він уже сам козу, пас увесь день, а ввечері погнав додому і тільки надігнав на дорогу, а сам навпростець пішов: став на воротях у червоних чоботях та й питається: – Чи ти пила, чи ти їла? Кізонька моя мила, кізонька моя люба! Чи ти пила, чи ти їла?"
"No, grandfather, I did not drink, I did not eat: I nibbled on a maple leaf stalk of wheat, and running past the bubbling brook, a drop of water is all I took. That's all I drank, that's all I ate!","Ні, дідусю, я й не пила, я й не їла: тільки бігла через місточок та вхопила кленовий листочок, тільки бігла через гребельку та вхопила водиці крапельку, - тільки пила, тільки й їла!"
"This time the old man got really, really angry. He grabbed a sharp knife and came after the goat, but the goat broke free and ran away into the forest.","От тоді дід розсердився, пішов до коваля, висталив ніж, став козу різати, а вона вирвалася та й утекла в ліс."
"In the forest, the goat came upon a rabbit's house. She ran inside and hid on top of the oven.","У лісі бачить коза зайчикові хатку, – вона туди вбігла та й заховалася на печі."
"When the rabbit came home, he heard that someone was in his house.","От прибігає зайчик, коли чує – хтось є в хатці."
"The rabbit asked: ""Tell me, please, who is in my house?""","Зайчик і питається: – А хто, хто в моїй хатці?"
"The goat bellowed from on top of the oven: I am a bully goat, and I am b-a-a-a-d, Don't come in or I will get mad! My legs and hooves are very strong, My horns are sharp and oh, so snap, a branch in two. So run away or I will eat you!","А коза сидить на печі та й каже: – Я коза-дереза, За три копи куплена, Півбока луплена! Тупу-тупу ногами, Сколю тебе рогами, Ніжками затопчу, Хвостиком замету, – Тут тобі й смерть!"
"The rabbit got so scared that he ran from his house, sat under a big oak tree, and began to cry.","От зайчик злякавсь, вибіг з хатки, сів під дубком. Сидить та й плаче."
"Along came a bear and asked, Why are you crying, little rabbit?","Коли йде ведмідь та й питається: – Чого ти, зайчику-побігайчику, плачеш?"
"""How can I not cry when there's a terrible beast in my house?"", replied the rabbit.","Як же мені, ведмедику, не плакати, коли в моїй хатці звір страшний сидить!"
"The bear said, ""Don't you worry, little rabbit, I will chase it away!""",А ведмідь: – От я його вижену!
The bear went to the rabbit's house and asked: Who is hiding in the rabbit's house?,"Побіг до хатки: – А хто, хто в зайчиковій хатці?"
"The goat bellowed from on top of the oven: I am a bully goat, and I am b-a-a-a-d, Don't come in or I will get mad! My legs and hooves are very strong, My horns are sharp and oh, so snap, a branch in two. So run away or I will eat you!","А коза з печі: – Я коза-дереза, За три копи куплена, Півбока луплена! Тупу-тупу ногами, Сколю тебе рогами, Ніжками затопчу, Хвостиком замету, – Тут тобі й смерть!"
This frightened the bear.,Ведмідь і злякався.
"He ran back to the rabbit and said, ""I'm sorry, little rabbit, I can't chase that beast away I'm scared!""","Ні, – каже, – зайчику-побігайчику, не вижену – боюсь."
"So the rabbit sat back down under the oak tree and cried, when along came a wolf and asked, ""Why are you crying, little rabbit?""","От і знов пішов зайчик, сів під дубком та й плаче. Коли йде вовк і питається: – А чого це ти, зайчику-побігайчику, плачеш?"
"""How can I not cry, Brother-Wolf, when there's a terrible beast in my house?"", replied the rabbit.","Як же мені, вовчику-братику, не плакати, коли в моїй хатці звір страшний сидить!"
"The wolf said, ""Don't you worry, little rabbit, I will chase it away!""",А вовк: – От я його вижену!
"How will you chase it away, if the bear tried and couldn't?","Де тобі його вигнати! Тут і ведмідь гнав, та не вигнав."
I will chase it away! You'll see!,"Отже, вижену!"
The wolf went to the rabbit's house and asked: Who is hiding in the rabbit's house?,"Побіг вовк до хатки та й питається: – А хто, хто в зайчиковій хатці?"
"The goat bellowed from on top of the oven: I am a bully goat, and I am b-a-a-a-d, Don't come in or I will get mad! My legs and hooves are very strong, My horns are sharp and oh, so snap, a branch in two. So run away or I will eat you!","А коза з печі: – Я коза-дереза, За три копи куплена, Півбока луплена! Тупу-тупу ногами, Сколю тебе рогами, Ніжками затопчу, Хвостиком замету, – Тут тобі й смерть!"
"This frightened the wolf. He ran back to the rabbit and said, ""“I’m sorry, little rabbit, I can’t chase that beast away – I’m scared!”""","Вовк і злякався. – Ні, – каже, – зайчику-побігайчику, не вижену – боюсь."
"So the rabbit sat down under the oak tree and cried once more, when along came a fox and asked, ""Why are you crying little rabbit?""","Зайчик ізнов пішов, сів під дубком та й плаче. Коли біжить лисичка, побачила зайчика та й питається: – А чого ти, зайчику-побігайчику, плачеш?"
"""How can I not cry when there's a terrible beast in my house?"", replied the rabbit.","– Як же мені, лисичко-сестричко, не плакати, коли в моїй хатці страшний звір сидить!"
"The fox said, ""Don't you worry, little rabbit, I will chase it away!""",А лисичка: – От я його вижену!
"""How can you chase it away? The bear tried and he couldn't, then the wolf tried and he couldn't!""","Де тобі, лисичко, його вигнати! Тут і ведмідь гнав – не вигнав, і вовк гнав, та не вигнав, а то ти!"
I will chase it away! You will see!,Отже вижену!
"So the fox went to the rabbit's house and asked: ""Who is hiding in the rabbit's house?""","Побігла лисичка до хати та: – А хто, хто в зайчиковій хатці?"
"The goat bellowed from on top of the oven: I am a bully goat, and I am b-a-a-a-d, Don't come in or I will get mad! My legs and hooves are very strong, My horns are sharp and oh, so snap, a branch in two. So run away or I will eat you!","А коза з печі: – Я коза-дереза, За три копи куплена, Півбока луплена! Тупу-тупу ногами, Сколю тебе рогами, Ніжками затопчу, Хвостиком замету, – Тут тобі й смерть!"
This frightened the fox.,От лисичка теж злякалась.
"She ran to the rabbit and said, ""I'm sorry, little rabbit, I can't chase that beast away I'm scared!""","Ні, – каже, – зайчику-побігайчику, не вижену – боюсь."
"Once again the rabbit sat down under the oak tree and cried and cried, when along came a crab and asked, ""Why are you crying little rabbit?""","Пішов зайчик, сів під дубком та й знову плаче. Коли це лізе рак-неборак та й питається: – Чого ти, зайчику-побігайчику, плачеш?"
“How can I not cry when there’s a terrible beast in my house?” replied the rabbit.,"Як же мені не плакати, коли в моїй хатці страшний звір сидить!"
"The crab said, “Don’t you worry, little rabbit, I’ll chase it away!”",А рак: – От я його вижену!
"“How will you chase it away? The bear tried – and he couldn’t, the wolf tried – and he couldn’t, the fox tried – and she couldn’t!”","Де тобі його вигнати! Тут ведмідь гнав, та не вигнав, і вовк гнав, та не вигнав, і лисиця гнала, та не вигнала, а то ти!"
“I’ll chase it away! You’ll see!”,Отже вижену!
"So the crab crawled to the rabbit's house and asked: ""Who is hiding in the rabbit's house?""","От поліз рак у хатку та й питається: – А хто, хто в зайчиковій хатці?"
"The goat bellowed from on top of the oven: I am a bully goat, and I am b-a-a-a-d, Don't come in or I will get mad! My legs and hooves are very strong, My horns are sharp and oh, so snap, a branch in two. So run away or I will eat you!","А коза з печі: – Я коза-дереза, За три копи куплена, Півбока луплена! Тупу-тупу ногами, Сколю тебе рогами, Ніжками затопчу, Хвостиком замету, – Тут тобі й смерть!"
"But the crab crawled into the house, crawled onto the oven, and said: ""I am a crab, I will chase you out! I will pinch you till you scream and shout!""","А рак усе лізе та лізе, виліз на піч та: – А я рак-неборак, Як ущипну, – буде знак!"
And then the crab pinched the bully goat very hard pinch! pinch! pinch!,Та як ущипне козу клешнями!..
"The goat cried B-a-a-a-a-a! She jumped off the oven, leaped through the door, and ran so fast that no one ever saw her again!","Коза як замекає, та з печі, та з хати – побігла, тільки видно!"
The rabbit was so very happy that he thanked the crab again and again!,"От зайчик радий, прийшов у хатку та так уже ракові дякує!"
Then he returned to his house and lived happily ever after.,Та й став жити в своїй хатці!
Oh: The Tsar of the Forest,Ох!
"Once upon a time, long long ago, beyond the times that we can call to mind, ere yet our great-grandfathers or their grandfathers had been born into the world, there lived a poor man and his wife, and they had one only son, who was not as an only son ought to be to his old father and mother. So idle and lazy was that only son that Heaven help him!","Колись-то давно, не з моєї пам'яті, мабуть, ще й батьків і дідів наших не було на світі, жив собі убогий чоловік з жінкою, а у них був одним один син, та й той не такий як треба: таке ледащо той одинчик, що господи!"
"He would do nothing, he would not even fetch water from the well, but lay on the stove all day long and rolled among the warm cinders.","Нізащо і за холодну воду не візьметься, а все тільки на печі сидить та просцем пересипається."
"If they gave him anything to eat, he ate it; and if they didn’t give him anything to eat, he did wiyout.","Як подадуть їсти, то й їсть, а не подадуть, то й так обходиться..."
"His father and mother fretted sorely because of him, and said, “What are we to do with you, son? Other people’s children are a stay and a support to their parents, but you only eat our bread and help nothing!”","Батько й мати журяться: Що нам з тобою, сину, робить? Чужі діти своїм батькам у поміч стають, а ти тільки дурно у нас хліб переводиш!"
But it was of no use at all. He would do nothing but sit on the stove and play with the cinders.,Так йому не до того; сидить та просцем пересипається
"So his father and mother grieved over him for many a long day, and at last his mother said to his father, “What is to be done with our son? Even yough he has grown up and yet is of no use to us, and he is so foolish that we can do nothing with him. Look now, if we can send him away, let us send him away; if we can hire him out, let us hire him out; perchance other folk may be able to do more with him than we can.”","Журились-журились батько з матір'ю, а далі мати й каже: — Що ти таки, старий, думаєш з ним, що вже він зросту дійшов, а така недотепа — нічого робить не вміє? Ти б його куди оддав, куди найняв, то, може б, його чужі люди чому вивчили."
"So his father and mother laid their heads together, and sent him to a tailor’s to learn tailoring.","Порадились, батько і оддав його у кравці вчитись."
"There he remained three days, but then he ran away home, climbed up on the stove, and again began playing with the cinders.",От він там побув день зо три та й утік; заліз на піч — знов просцем пересипається.
"His father then gave him a sound drubbing and sent him to a cobbler’s to learn cobbling, but again he ran away home.","Батько його побив добре, вилаяв, оддав до шевця шевству вчитись. Так він і звідтіля втік. "
His father gave him another drubbing and sent him to a blacksmith to learn smith’s work. ,Батько знов його побив і оддав ковальству вчитись. Так і там не побув довго — втік. Батько бідкається — що робить?
"But there too he did not remain long, but ran away home again, so what was that poor father to do?",Так і там не побув довго — втік. Батько бідкається — що робить?
