English,Ukrainian
"I’ll tell you what I’ll do with you, you son of a dog!” said he. “I’ll take you, you lazy lout, into another kingdom. There, perchance, they will be able to teach you better than they can here, and it will be too far for you to run home.” So he took him and set out on his journey.","Поведу,— каже,— вражого сина ледащо у інше царство; де найму, то найму, може, він відтіля не втече.— Взяв його і повів."
"They went on and on, they went a short way and they went a long way, and at last they came to a forest so dark that they could see neither earth nor sky.","Йдуть та йдуть, чи довго, чи недовго, аж увійшли у такий темний ліс, що тільки небо та земля."
"They went through this forest, but in a short time they grew very tired, and when they came to a path leading to a clearing full of large tree-stumps, the father said, “I am so tired out that I will rest here a little,” and with that he sat down on a tree-stump and cried, “Oh, how tired I am!” ","Увіходять у ліс, притомилися трохи; а там над стежкою стоїть обгорілий пеньок; батько й каже: — Притомився я, сяду, одпочину трохи. От сідає на пеньок та: — Ох! Як же я втомився! — каже."
"He had no sooner said these words than out of the tree-stump, nobody could say how, sprang such a little, little old man, all so wrinkled and puckered, and his beard was quite green and reached right down to his knee.","Тільки це сказав, аж з того пенька — де не взявся — вилазить такий маленький дідок, сам зморщений, а борода зелена аж по коліна."
"––“What do you want of me, O man?” he asked","Що тобі,— пита,— чоловіче, треба од мене?"
"The man was amazed at the strangeness of his coming to light, and said to him, “I did not call you; begone!”",Чоловік здивувався: де воно таке диво взялося? Та й каже йому: — Хіба я тебе кликав? Одчепись!
“How can you say that when you did call me?” asked the little old man.,"— Як же не кликав,— каже дідок,— коли кликав!"
"“Who are you, then?” asked the father.",Хто ж ти такий? — пита чоловік.
"“I am Oh, the Tsar of the Woods,” replied the old man; “why did you call me, I say?”","Я,— каже дідок,— лісовий цар Ох. Чого ти мене кликав?"
"“Away with you I did not call you,” said the man.","Та цур тобі, я тебе і не думав кликать! — каже чоловік."
“What! How did you not call me when you said ‘Oh’?”,"Ні, кликав, ти сказав: Ох!"
"""I was tired, and therefore I said ‘Oh’!” replied the man.","Та то я втомився,— каже чоловік,— та й сказав: ох!"
"""Where are you going?” asked Oh.",Куди ж ти йдеш? — пита Ох.
"“The wide world lies before me,” sighed the man.",Світ за очі! — каже чоловік.
"“I am taking this sorry blockhead of mine to hire him out to somebody, maybe other people may be able to knock more sense into him than we can at home; but send him whither we will, he always comes running home again!”","Веду оцю дитину наймать, може, його чужі люди навчать розуму, бо у себе дома що найму, то й утече."
"“Hire him out to me! I’ll warrant I’ll teach him,” said Oh.","Найми,— каже Ох,— у мене, я його навчу."
"“Yet I’ll only take him on one condition. You shall come back for him when a year has run, and if you recognize him again, you can take him; but if you don't recognize him again, he shall serve another year with me.""","Тільки з такою умовою: як вибуде рік та прийдеш за ним, то коли пізнаєш його — бери, а не впізнаєш — ще рік служитиме у мене!"
“Good!” cried the man.,"Добре,— каже чоловік."
"So they shook hands upon it, had a good drink to clinch the bargain, and the man went back to his own home, while Oh took the son away with him.","От ударили по руках, запили могорич гарненько,— чоловік і пішов собі додому, а сина повів Ох до себе."
"Oh took the son away with him, and they passed into the other world, the world beneath the earth, and came to a green hut woven out of rushes, and in this hut everything was green; the walls were green and the benches were green, and Oh’s wife was green and his children were green––in fact, everything there was green.","От як повів його Ох, та й повів аж на той світ, під землею, та привів до зеленої хатки, очеретом обтиканої, а в тій хатці усе зелене: і стіни, і лавки зелені, і Охова жінка зелена, і діти, сказано — все, все..."
"And Oh had water-nixies for serving-maids, and they were all as green as rue.","А за наймичок у Оха мавки — такі зелені, як рута!.."
"“Sit down now!” said Oh to his new labourer, “and have a bit of something to eat.”","Ну, сідай же,— каже Ох,— наймитку, та попоїси трохи!"
"The nixies then brought him some food, and that also was green, and he ate of it.",Мавки подають йому страву — і страва зелена; він попоїв.
"“And now,” said Oh, “take my labourer into the courtyard that he may chop wood and draw water.”","Ну,— каже Ох,— піди ж, наймитку, дровець урубай та наноси."
"So they took him into the courtyard, but instead of chopping any wood he lay down and went to sleep.","Наймиток пішов. Чи рубав, чи не рубав, та ліг на дрівця й заснув."
"Oh came out to see how he was getting on, and there he lay a-snoring.",Приходить Ох — аж він спить.
"Then Oh seized him, and bade them bring wood and tie his labourer fast to the wood, and set the wood on fire till the labourer was burnt to ashes.","Він його взяв, звелів наносить дров, положив на дрова зв'язаного наймита, підпалив дрова... Згорів наймит!"
"Then Oh took the ashes and scattered them to the four winds, but a single piece of burnt coal fell from out of the ashes, and this coal he sprinkled with living water, whereupon the labourer immediately stood there alive again and somewhat handsomer and stronger than before.","Ох тоді взяв попілець, по вітру розвіяв, а одна вуглина і випала з того попелу. Ох тоді і сприснув живущою водою, наймит знов став живий, тільки вже моторніший трохи."
"Oh again bade him chop wood, but again he went to sleep.",Ох оп'ять звелів дрова рубать — той знов заснув.
"Then Oh again tied him to the wood and burnt him and scattered the ashes to the four winds and sprinkled the remnant of the coal with living water, and instead of the loutish clown there stood there such a handsome and stalwart Cossack that the like of him can neither be imagined nor described but only told of in tales.","От Ох спалив його і втретє, та оп'ять живущою водою сприснув углину — і з того ледачого парубка та став такий моторний та гарний козак, що ні здумать, ні згадать, хіба в казці сказать."
"There, then, the lad remained for a year, and at the end of the year the father came for his son.","От вибув той парубок рік. Як вийшов рік, батько йде за сином."
"He came to the self-same charred stumps in the self-same forest, sat him down, and said, “Oh!”","Прийшов у той ліс до того пенька обгорілого, сів та: — Ох!"
"Oh immediately came out of the charred stump and said, “Hello!, old man!”","Ох і виліз з того пенька та й каже: Здоров був, чоловіче!"
"""Hello to you, Oh!”","Здоров, Ох!"
"“And what do you want, old man?” asked Oh.","А чого тобі треба, чоловіче? — пита Ох."
"“I have come,” said he, “for my son.”","Прийшов,— каже,— за сином."
"“Well, come then! If you recognize him again, you shall take him away; but if you don't recognize him, he shall serve with me yet another year.”","Ну, йди, як пізнаєш — бери його з собою, а не пізнаєш — ще рік служитиме."
So the man went with Oh.,Чоловік і пішов за Охом.
"They came to his hut, and Oh took whole handfuls of millet and scattered it about, and myriads of cocks came running up and pecked it.","Приходить до його хати; Ох взяв виніс мірку проса, висипав — назбігалося до біса півнів!"
"“Well, do you recognize your son again?” said Oh.","Ну, пізнавай,— каже Ох,— де твій син?"
"The man stared and stared. There was nothing but cocks, and one cock was just like another. He could not pick out his son.",Чоловік дивився-дивився — всі півні однакові: один у один — не пізнав.
"“Well,” said Oh, “as you dost not know him, go home again; this year your son must remain in my service.”","Ну,— каже Ох,— йди ж собі, коли не пізнав, ще рік твій син служитиме в мене."
So the man went home again.,Чоловік і пішов додому.
"The second year passed away, and the man again went to Oh.",От виходить і другий рік; чоловік оп'ять йде до Оха.
"He came to the charred stumps and said, “Oh!” and Oh popped out of the tree-stump again.",Прийшов до пенька: — Ох! — каже. Ох до його виліз.
"“Come!” said he, “and see if you canst recognize him now.”","Йди,— каже,— пізнавай!"
"Then he took him to a sheep-pen, and there were rows and rows of rams, and one ram was just like another.","Увів його у кошару — аж там самі барани, один в один."
"The man stared and stared, but he could not pick out his son.",Чоловік пізнавав-пізнавав — не пізнав.
"""You must as well go home then,” said Oh, “but your son shall live with me yet another year.”","Йди собі, коли так, додому, твій син ще рік житиме у мене."
"So the man went away, sad at heart.",Чоловік і пішов журячись.
"The third year also passed away, and the man came again to find Oh.",Виходить і третій рік. Чоловік йде до Оха.
"He went on and on till there met him an old man all as white as milk, and the raiment of this old man was glistening white.","Йде та йде — аж йому назустріч йде дід, увесь, як молоко, білий, і одежа на йому біла."
"“Hello to you, old man!” said he.","Здоров, чоловіче!"
"“Hello to you also, grandfather!”","Доброго здоров'я, діду!"
“Where is God leading you?”,Куди тебе бог несе?
“I am going to free my son from Oh.”,"Йду,— каже,— до Оха виручать сина."
“How so?”,Як саме?
Then the man told the old white father how he had hired out his son to Oh and under what conditions.,"Так і так,— каже чоловік. І розказав тому білому дідові, як він Охові оддав у найми свого сина і з якою умовою."
"“Aye, aye!” said the old man, ""he will lead you about by the nose for a long time.”","Е! — каже дід.— Погано, чоловіче, довго він тебе водитиме!"
"“Yes,” said the man, “I see how bad it is, but I don't know what in the world to do with him.""","Та я вже,— каже чоловік,— і сам бачу, що погано, та не знаю, що його й робить тепер у світі..."
"Can you tell me then, dear grandfather, how I may recover my son?”","Чи ви, дідусю, не знаєте, як мені мого сина вгадать?"
"“Yes, I can,” said the old man.",Знаю! — каже дід.
"“Please tell me, dear grandfather, and I’ll pray for you to God all my life! He is still my own flesh and blood.”","Скажіть же й мені, дідусю-голубчику: я за вас цілий вік буду Бога молить! Бо все-таки який він не був, а мій син, своя кров!"
"“Listen up then!” said the old man; “when you go to Oh, he will let loose a multitude of doves before you, but choose not one of these doves. The dove you should choose must be the one that comes not out, but remains sitting beneath the pear-tree pruning its feathers; that will be your son.”","Слухай же,— каже дід.— Як прийдеш до Оха, він тобі випустить голубів, то ти не бери ніякого голуба, тільки бери того, що не їстиме, а сам собі під грушею сидітиме та оскубатиметься: то твій син!"
Then the man thanked the old white father and went on.,Подякував чоловік дідові і пішов.
He came to the stump.,Приходить до пенька.
"“Oh!” cried he, and out came Oh and led him to his sylvan realm.","Ох! — каже. Ох і виліз до його, і повів його у своє лісове царство."
"There Oh scattered about handfuls of wheat and called his doves, and there flew down such a multitude of them that there was no counting them, and one dove was just like another.","От висипав Ох мірку пшениці, наскликав голубів. Назліталось їх така сила, що господи, і все один в один."
"“Can you recognize your son?”, asked Oh.","Пізнавай,— каже Ох,— де твій син! Пізнаєш — твій, а не пізнаєш — мій."
"If you recognize him, you shall take him away; but if you don't recognize him, he is mine.""","Пізнаєш — твій, а не пізнаєш — мій."
"Now all the doves there were pecking at the wheat, all but one that sat alone beneath the pear-tree, sticking out its breast and pruning its feathers.","От всі голуби їдять пшеницю, а один сидить під грушею, сам собі надувся та оскубається."
"“That is my son,” said the man.","Чоловік і каже: — Ось мій син!

"
"“Since you hast guessed him, take him,” replied Oh.","Ну, вгадав! Коли так, то бери."
"Then the father took the dove, and immediately it changed into a handsome young man, and a handsomer was not to be found in the wide world.","Взяв, перекинув того голуба — став з його такий гарний парубок, що кращого й на світі немає."
The father rejoiced greatly and embraced and kissed him... Both so happy!,"Батько зрадів дуже, обнімає його, цілує... Раді обидва!"
"“Let us go home, my son!” said he. So they went.","Ходім же, сину, додому. От і пішли."
"As they went along the road together they fell a-talking, and his father asked him how he had fared at Oh’s. The son told him. Then the father told the son what he had suffered, and it was the son’s turn to listen.","Йдуть дорогою та й розмовляють: батько розпитує, як там у Оха було; син розказує; то знову батько розказує, як він бідує, а син слухає."
"Furthermore the father said, “What shall we do now, my son?","Що ж ми тепер, сину, робитимем?"
I am poor and you art poor: hast you served these three years and earned nothing?”,"Що ж ми тепер, сину, робитимем? Я бідний і ти бідний... Служив ти три роки, та нічого не заробив!"
"Grieve not, dear dad, all will come right in the end.","Не журіться, тату, все гаразд буде."
"Look! there are some young nobles hunting after a fox. I will turn myself into a greyhound and catch the fox, then the young noblemen will want to buy me of you, and you must sell me to them for three hundred roubles––only, mind you sell me withouta chain; then we shall have lots of money at home, and will live happily together!”","Глядіть,— каже,— тут полюватимуть за лисицями паничі, то я перекинусь хортом та піймаю лисицю, то паничі мене купуватимуть у вас, то ви мене продайте за триста рублів, тільки продавайте без ретязя, от у нас і гроші будуть, розживемось!"
"They went on and on, and there, on the borders of a forest, some hounds were chasing a fox. They chased it and chased it, but the fox kept on escaping, and the hounds could not run it down.","Йдуть та йдуть, аж там на узліссі собаки ганяють лисицю, так ганяють, так ганяють, лисиця не втече, хорт не дожене."
"Then the son changed himself into a greyhound, and ran down the fox and killed it.","Син зараз перекидається хортом, догнав ту лисицю, піймав."
The noblemen thereupon came galloping out of the forest.,Паничі вискочили з лісу.
“Is that your greyhound?”,Се твій хорт?
“It is mine.”,Мій!
“It is a good dog; sell it to us!”,Добрий хорт! Продай його нам.
“Pay for it!”,Купіть.
“What do you want for it?”,Що тобі за його?
“Three hundred roubles without a chain.”,Триста рублів без ретезя.
"“What do we want with your chain, we would give him a chain of gold. Say a hundred roubles!”",Нащо нам твій ретязь — ми йому позолочений зробим. На сто!
“Nay!”,Ні.
“Then take your money and give us the dog.”,"Ну, бери всі гроші, давай хорта."
They counted down the money and took the dog and set off hunting.,"Одлічили гроші, взяли хорта — давай полювать."
They sent the dog after another fox.,Випустили того хорта знову на лисицю. 
"Away he went after it and chased it right into the forest, but then he turned into a youth again and rejoined his father.","Він як погнав лисицю, то погнав аж у ліс, та перекинувся парубком і знову прийшов до батька."
"They went on and on, and his father said to him, “What use is this money to us after all? It is barely enough to begin housekeeping with and repair our hut.”","Йдуть та йдуть, батько й каже: Що нам, сину, цих грошей,— тільки що хазяйством завестись..."
"“Grieve not, dear dad, we shall get more still.","Не журіться, тату, буде ще."
"Over yonder are some young noblemen hunting quails with falcons. I will change myself into a falcon, and you must sell me to them; only sell me for three hundred roubles, and without a hood.”","Тут,— каже,— паничі їхатимуть по перепелиці з соколом: то я перекинусь соколом, то вони мене купуватимуть, то ви мене продайте знов за триста рублів без шапочки."
"They went into the plain, and there were some young noblemen casting their falcon at a quail. The falcon pursued but always fell short of the quail, and the quail always eluded the falcon.","От йдуть полем, паничі випустили сокола на перепела; так сокіл женеться, а перепел тікає: сокіл не дожене, перепел не втече."
The son then changed himself into a falcon and immediately struck down its prey.,"Син перекинувся соколом, так зразу і насів на того перепела."
The young noblemen saw it.,Паничі побачили.
“Is that your Is that your falcon?”,Це твій сокіл?
“It is mine.”,Мій.
"“Sell it to us, then!”",Продай його нам.
“Bid for it!”,Купіть.
“What do you want for it?”,Що тобі за його?
"“Three hundred roubles, you may take it, but without the hood.”","Як дасте триста рублів, то беріть собі сокола, тільки без шапочки."
“We’ll make for it a hood worthy of a Tsar!”,Ми йому парчову зробимо...
"So they higgled and haggled, but at last they gave him the three hundred roubles.","Поторгувались, продав за триста рублів."
"Then the young nobles sent the falcon after another quail, and it flew and flew till it beat down its prey; but then he became a youth again, and went on with his father.","От паничі пустили того сокола за перепелицю, а він як полетів, та й полетів, та перекинувся парубком і знову прийшов до батька."
“Now we have some more money!” said the father.,"Ну, тепер ми розжились трохи,— каже батько."
"""Wait a while, dad, and we shall have still more,” said the son.","Постійте, тату, ще буде."
"“When we pass through the fair I’ll change myself into a horse, and you must sell me. They will give you a thousand roubles for me, only sell me without a halter.”","Як будемо,— каже,— іти через ярмарок, то я перекинусь конем, а ви мене продавайте: дадуть вам за мене тисячу рублів; тільки продавайте без недоуздка."
"So when they got to the next little town, where they were holding a fair, the son changed himself into a horse, a horse as supple as a serpent, and so fiery that it was dangerous to approach him.","От підходять до містечка там, чи що,— аж ярмарок. Син перекинувся конем — і такий кінь, як змій, і приступить страшно!"
The father led the horse along by the halter; it pranced about and struck sparks from the ground with its hoofs.,"Батько веде того коня за недоуздок, а він так гарцює, копитом землю вибиває!"
Then the horse-dealers came together and began to bargain for it.,Тут понаходилось купців — торгують.
"“A yousand roubles down,” said he, “and you may have it, but without the halter.”","Тисячу,— каже,— без недоуздка, то й беріть!"
"""What do we want with your halter? We will make for it a silver-gilt halter. Come, we’ll give you five hundred!”","Та навіщо нам цей недоуздок, ми йому срібну позолочену уздечку зробимо! — Дають п'ятсот."
“No!” said he.,Ні!
"Then up there came a Roma, blind of one eye.",А це підходить циган сліпий на одне око.
“O man! What do you want for that horse?” said he.,"Що тобі, чоловіче, за коня?"
“A yousand roubles without the halter.”,Тисячу без недоуздка.
"“Nay! That's too expensive, father! Take five hundred with the halter?”","Ге! Дорого, батю: візьми п'ятсот з недоуздком!"
"“No, not a bit of it!”, said father.","Ні, не рука,— каже батько."
"“Take six hundred, then!”",Ну шістсот... бери!
"Then the Roma began higgling and haggling, but the man would not give way.","Як узяв той циган торгуваться, як узяв — так чоловік і шага не спускає."
"“Come, sell it,” said he, “with the halter.”","Ну, бери, батю, тільки з недоуздком."
"“No, you Roma, I have a liking for that halter.”","Е, ні, цигане, недоуздок мій!"
"“But, my good man, when did you ever see them sell a horse withouta halter? How then can one lead him off?”","Чоловіче добрий! Де ти видав, щоб коня продавали без уздечки? І передать ніяк..."
"“Nevertheless, the halter must remain mine.”","Як хочеш, а недоуздок мій! — каже чоловік."
"“Look now, my father, I’ll give you five roubles extra, only I must have the halter.”","Ну, батю, я тобі п'ять рублів накину,— тільки з недоуздком."
The old man fell a-thinking. A halter of this kind is worth but three grivni (coins) and the Roma offers me five roubles for it; let him have it.”,"Чоловік подумав: недоуздок яких там три гривни вартий, а циган дає п'ять карбованців. Взяв і оддав."
"So they clinched the bargain with a good drink, and the old man went home with the money, and the Roma walked off with the horse.","Запили могорич; чоловік пішов, взявши гроші, додому, а циган — на коня та й поїхав."
"But it was not really a Roma, but Oh, who had taken the shape of a Roma.","А то не циган, то Ох перекинувся циганом."
"Then Oh rode off on the horse, and the horse carried him higher than the trees of the forest, but lower than the clouds of the sky.","Той кінь несе та й несе Оха — вище дерева, нижче хмари..."
"At last they sank down among the woods and came to Oh’s hut, and Oh went into his hut and left his horse outside on the steppe.","От спустились у ліс, приїхали до Оха; він того коня поставив на степу, а сам пішов у хату."
"“This son of a dog shall not escape from my hands so quickly the second time,” said he to his wife.","Не втік-таки від моїх рук, вражий син! — каже жінці."
At dawn Oh took the horse by the bridle and led it away to the river to water it.,"От у обідню пору бере Ох того коня за повід, веде до водопою, до річки."
But no sooner did the horse get to the river and bend down its head to drink than it turned into a perch and began swimming away.,"Тільки що привів до річки, а той кінь нахилився пить — та й перекинувся окунем, та й поплив."
"Oh, withoutmore ado, turned himself into a pike and pursued the perch.","Ох, недовго думавши, перекинувся і собі щукою та давай ганяться за тим окунем."
"But just as the pike was almost up with it, the perch gave a sudden twist and stuck out its spiky fins and turned its tail toward the pike, so that the pike could not lay hold of it.","Так оце що нажене, то окунь одстовбурчить пірця та хвостом повернеться, то щука й не візьме..."
"So when the pike came up to it, it said, “Perch! perch! turn your head toward me, I want to have a chat with you!”","От оце вона дожене та: — Окунець, окунець, повернись до мене головою, побалакаємо з тобою!"
"“I can hear you very well as I am, dear cousin, if you art inclined to chat,” said the perch.","Коли ти, кумонько, хочеш балакати,— каже окунець щуці,— то я і так чую!"
"So off they set again, and again the pike overtook the perch. “Perch! perch! turn your head round toward me, I want to have a chat with you!”","Та це що нажене щука окуня та: — Окунець, окунець, повернись до мене головою, побалакаєм з тобою!"
"Then the perch stuck out its bristly fins again and said, “If you dost wish to have a chat, dear cousin, I can hear you just as well as I am.”","А окунець одстовбурчить пірця та: — Коли ти, кумонько, хочеш, то я й так чую!"
"So the pike kept on pursuing the perch, but it was of no use.",Довго ганялись щука за окунем — та ні! 
"At last the perch swam ashore, and there was a Tsarivna (a Tsar’s daughter) whittling an ash twig.",А це випливає той окунь на берег — аж там цариця шмаття пере.
"The perch changed itself into a gold ring set with garnets, and the Tsarivna saw it and fished up the ring out of the water.","Окунь перекинувся гранатовим перснем у золотій оправі. Царівна й побачила, та й підняла той перстень з води."
"Full of joy she took it home, and said to her father, “Look, dear papa! what a nice ring I have found!”","Приносить додому, хвалиться: — Який я, таточку, гарний перстень найшла!"
"The Tsar admires her, but the Tsarivna did not know which finger it would suit best, it was so lovely.","Батько любується, а царівна не знає, на який його й палець надіть: такий гарний!"
About the same time they told the Tsar that a certain merchant had come to the palace.,"Коли це через якийсь там час доложили царю, що прийшов купець."
"It was Oh, who had changed himself into a merchant.",А то Ох купцем перекинувся.
"The Tsar went out to him and said, “What dost you want, old man?”","Цар вийшов: — Що тобі треба, старичок?"
"“I was sailing on the sea in my ship,” said Oh, “and carrying to the Tsar of my own land a precious garnet ring, and this ring I dropped into the water.","Так і так: їхав я,— каже Ох,— кораблем по морю, віз у свою землю своєму цареві перстень гранатовий та й упустив той перстень у воду..."
Has any of your servants perchance found this precious ring?”,Чи ніхто з ваших не знайшов?
"“No, but my daughter has,” said the Tsar.","Ні,— каже цар,— моя дочка знайшла."
"So they called the damsel, and Oh began to beg her to give it back to him, “for I may not live in this world if I bring not the ring,” said he.","Покликали її. Ох як узявсь її просить, щоб оддала, бо мені, каже, і на світі не жить, як не привезу того персня!"
"But it was of no avail, she would not give it up.","Так вона не оддає, та й годі!"
Then the Tsar himself spoke to her.,Тут уже цар уступився:
"“Nay, but, darling daughter, give it up, lest misfortune befall this man because of us; give it up, I say!”","Оддай,— каже,— дочко, а то через нас буде нещастя чоловікові, оддай!"
"Then Oh begged and prayed her yet more, and said, “Take what you wilt of me, only give me back the ring.”","А Ох так просить: — Що хочете, та й беріть у мене, тільки оддайте мені перстень!"
"“Nay, then,” said the Tsarivna, “it shall be neither mine nor thine,” and with that she tossed the ring upon the ground, and it turned into a heap of millet-seed and scattered all about the floor.","Ну, коли так,— каже царівна,— то щоб ні тобі, ні мені! — та й кинула той перстень на землю...Той перстень і розсипався пшоном — так і порозкочувалось по усій хаті."
"Then Oh, withoutmore ado, changed into a cock, and began pecking up all the seed.","А Ох, недовго думавши, перекинувся півнем та давай клювати те пшоно."
He pecked and pecked till he had pecked it all up.,"Клював-клював, все поклював..."
"Yet there was one single little grain of millet which rolled right beneath the feet of the Tsarivna, and that he did not see.","А одна пшонина закотилася під ноги царівні, він тієї пшонини і не з'їв."
"When he had done pecking he got upon the window-sill, opened his wings, and flew right away.","Як поклював, та в вікно й вилетів собі геть, та й полетів собі..."
"But the one remaining grain of millet-seed turned into a most beauteous youth, a youth so beauteous that when the Tsarivna beheld him she fell in love with him on the spot, and begged the Tsar and Tsaritsa right piteously to let her have him as her husband.","А з тієї пшонини перекинувся парубок — і такий гарний, що царівна як побачила, так і закохалася одразу, та так щиро просить царя й царицю, щоб її оддали за нього:"
"“With no other shall I ever be happy,” said she; “my happiness is in him alone!”","Ні за ким,— каже,— я щаслива не буду, а за ним моє щастя!"
"For a long time the Tsar wrinkled his brows at the yought of giving his daughter to a simple youth; but at last he gave them his blessing, and they crowned them with bridal wreaths, and all the world was bidden to the wedding-feast.","Цар довго морщився, що за простого оддає свою дочку, а далі порадився цар, взяли їх поблагословили та подружили, таке весілля справили, що увесь мир скликали."
"And I too was there, and drank beer and mead, and what my mouth could not hold ran down over my beard, and my heart rejoiced within me.","І я там був, мед-вино пив, хоч в роті не було, а по бороді текло — тим вона в мене й побіліла!"
Beer and mead,мед-вино
Honey-wine,мед-вино
"Mavka, forest spirit",мавкa
Mavka,мавкa
Water-nixie,мавкa
Nixie,мавкa
A little start bull,Солом'яний бичок
Scratchy-Mouse,Мишка-шкряботушка
Croaky-Frog,жабка-скрекотушка
Speedy-Hare,зайчик-побігайчик
Sister-Fox,лисичка-сестричка
Brother-Wolf,вовчик-братик
"Bear, the Wanderer",ведмідь-набрідь
Boar-With-Tusks,кабан-іклан
Crunch-Munch the Mouse,Мишка-шкряботушка
Hop-Stop the Frog,жабка-скрекотушка
Fleet-Feet the Rabbit,зайчик-побігайчик
Smily-Wily the Fox,лисичка-сестричка
Howly-Prowly the Wolf,вовчик-братик
Snout-Rout the Boar,кабан-іклан
Grumbly-Rumbly the Bear,ведмідь-набрідь
,
,
,
,
"There was once upon a time a lark who was the Tsar among the birds, and he took unto himself as his Tsaritsa a little shrew-mouse. ","Колись була птиця-жайворонок царем, а царицею — миша, і мали вони своє поле."
"They had a field all to themselves, which they sowed with wheat.",Посіяли на тім полі пшеницю.
"And when the wheat grew up they divided it between them, when they found that there was one grain over!",Як уродила їм та пшениця — давай вони зерном ділитися. От одне зерно зайве було.
"The mouse said, ""Let me have it!""",Миша каже: — Нехай мені буде!
"But the lark said, ""No, let me have it!""",А жайворонок каже: — Нехай мені!
"""What's to be done?"" thought they.",Думають вони: що тут робити?
"They would have liked to take counsel of some one, but they had no parents or kinsmen, nobody at all to whom they could go and ask advice in the matter.","Пішли б позиватися, та немає старших за них: немає до кого йти позиватися."
"At last the mouse said, ""At any rate, let me have the first nibble!"" ","Потім миша каже: — Ну, я лучче його перекушу."
"The lark Tsar agreed to this; but the little mouse fastened her teeth in it and ran off into her hole with it, and there ate it all up.",Цар на це діло згодився.
,Миша тільки взяла зерно в зуби та в нору й побігла.
"At this the Tsar lark was wrath, and collected all the birds of the air to make war upon the mouse Tsaritsa; but the Tsaritsa called together all the beasts to defend her, and so the war began.","Тут цар-жайворонок збирає всіх птахів, щоб звоювати царицю мишу, а цариця скликає всіх звірів — і почали війну."
"Whenever the beasts came rushing out of the wood to tear the birds to pieces, the birds flew up into the trees; but the birds kept in the pieces, the birds flew up into the trees; but the birds kept in the air, and hacked and pecked the beasts wherever they could. ","Як вийшли в ліс — то що звірі хочуть яку птицю розірвати, то вони на дерево; або птиця як візьме, літаючи, бити звірів, то вони в нору..."
"Thus they fought the whole day, and in the evening they lay down to rest.","Так билися цілий день, а потім увечері сіли всі спочивати."
"When the Tsaritsa looked around upon her forces, she saw that the ant was taking no part in the war.",Коли цариця зогледілась — аж немає на війні комашні.
She immediately went and commanded the ant to be there by evening.,"Тоді вона звеліла, щоб конче була на вечір і комашня."
"And when the ant came, the Tsaritsa ordered her to climb up the trees with her kinsmen and bite off the ordered her to climb up the trees with her kinsmen and bite off the feathers round the birds' wings.","Коли це приходить і комашня. Цариця й нагадала їй, щоб вона вночі полізла на дерева і за одну ніч повідкушувала птиці пір'я коло крил."
,
"Next day, when there was light enough to see by, the mouse Tsaritsa cried, ""Up, up, my warriors!"" ","На другий день, тільки-но розвиднілось, цариця кричить: — Ану, вставайте воюватися!"
"Thereupon the birds also rose up, and immediately fell to the ground, where the beasts tore them to bits.","Птиця що підійметься, то й упаде на землю,— так звір її і розірве. І цариця повоювала царя."
So the Tsaritsa overcame the Tsar. ,І цариця повоювала царя.
"But there was one eagle who saw there was something wrong, so he did not try to fly, but remained sitting on was something wrong, so he did not try to fly, but remained sitting on the tree.","А орел бачить, що то лихо, сидить на дереві і не злітає."
"And lo! there came an Hunter along that way, and seeing the eagle on the tree, he took aim at it; but the eagle besought him.","Коли тут іде стрілець, бачить, що орел сидить на дереві, як націлиться на нього."
